ID,e_city_id,s_city_id,NOMBORIGEN,EMP07_1,EMP07_2,EMP07_3,EMP07_4,EMP07_5,EMP07_6,EMP07_7,EMP07_8,EMP07_9,EMP07_10,TOTAL_PERSONAS,s_lon,s_lat,e_lon,e_lat,Region_origen,Region_destino,Flujo_Migratorio
132154,160101,150719,150719. Dpto. Lima   Prov. Huarochiri   Dist. San Juan de Iris,1,14,5,6,19,-,2,13,19,5,84,-76.46909068,-11.7189686,-73.4328383,-3.78230214,SIERRA,SELVA,SIERRA-SELVA
132402,160101,150732,150732. Dpto. Lima   Prov. Huarochiri   Dist. Surco,-,20,12,15,9,-,3,1,4,34,98,-76.44535866,-11.8771124,-73.4328383,-3.78230214,SIERRA,SELVA,SIERRA-SELVA
132779,160108,150719,150719. Dpto. Lima   Prov. Huarochiri   Dist. San Juan de Iris,-,4,3,2,8,1,5,3,15,2,43,-76.46909068,-11.7189686,-73.4544453,-3.53867544,SIERRA,SELVA,SIERRA-SELVA
133366,160113,150719,150719. Dpto. Lima   Prov. Huarochiri   Dist. San Juan de Iris,1,8,5,2,18,8,6,17,26,11,102,-76.46909068,-11.7189686,-73.66589881,-4.14906484,SIERRA,SELVA,SIERRA-SELVA
135857,170101,40129,40129. Dpto. Arequipa   Prov. Arequipa   Dist. Jose Luis Bustamante Y Rivero,1,8,4,4,3,-,1,3,1,5,30,-71.52347257,-16.43149245,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
135865,170101,50101,50101. Dpto. Ayacucho   Prov. Huamanga   Dist. Ayacucho,-,2,2,4,4,-,9,4,1,4,30,-74.25197809,-13.13475583,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
135874,170101,100101,100101. Dpto. Huanuco   Prov. Huanuco   Dist. Huanuco,-,3,7,4,3,-,4,8,5,1,35,-76.29667215,-9.89658248,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
135878,170101,40112,40112. Dpto. Arequipa   Prov. Arequipa   Dist. Paucarpata,-,7,4,3,8,-,4,7,6,3,42,-71.4779991,-16.42007007,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
135880,170101,150732,150732. Dpto. Lima   Prov. Huarochiri   Dist. Surco,-,5,4,3,5,-,2,6,4,6,35,-76.44535866,-11.8771124,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
135906,170101,80108,80108. Dpto. Cusco   Prov. Cusco   Dist. Wanchaq,1,41,16,9,16,-,9,10,17,10,129,-71.95120435,-13.53128184,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
